[[0, 0, 0],
[20, 34, 37],
[21, 50, 31],
[18, 38, 39],
[39, 33, 38],
[36, 32, 17],
[29, 41, 26],
[15, 15, 46],
[21, 16, 24],
[28, 44, 11]]



[[0, 58.6414, 76.4376, 78.8526, 44.8165, 71.3094, 91.9698, 20.3269, 51.2024, 61.3564],
[29.8052, 0, 88.1357, 17.7715, 12.7626, 87.6457, 15.5908, 23.3903, 63.7167, 20.7337],
[64.222, 85.2727, 0, 61.3183, 63.6744, 53.8876, 5.85635, 61.7117, 84.9067, 65.8519],
[7.0109, 5.04718, 85.9381, 0, 10.2342, 44.8017, 84.2768, 21.0927, 8.67502, 23.8018],
[57.0972, 38.6591, 74.1357, 60.3149, 0, 70.0207, 92.5626, 82.27, 33.8191, 29.7019],
[37.3294, 97.4723, 21.6548, 42.2428, 41.7568, 0, 36.7068, 42.3528, 94.8931, 27.0025],
[46.3703, 66.8134, 7.41301, 39.7497, 95.0099, 32.322, 0, 62.2371, 25.927, 80.4286],
[43.5984, 11.0399, 70.0941, 87.754, 73.3548, 79.3527, 33.7706, 0, 95.2293, 6.69229],
[46.341, 30.1729, 18.8451, 55.1045, 85.4683, 78.68, 40.8054, 82.8112, 0, 63.6797],
[70.0623, 7.84531, 50.5588, 53.2946, 71.1148, 10.6238, 22.786, 64.6318, 65.6543, 0]]



[5.34938, 4.43551, 8.61547, 2.25857, 4.98727, 7.86649, 8.7849, 9.36756, 6.10535, 9.71336]



[0, 27.0165, 37.3124, 23.3354, 48.8725, 18.1352, 24.1083, 36.464, 44.297, 35.9517]



[0, 1, 8, 6, 15, 13, 17, 19, 16, 4]



[300, 89, 54, 44, 89, 61, 76, 43, 61, 41]
